status	size	property_type	rooms	floor	year_built	property_condition	location
wtórny	60.0	apartamentowiec	2	4	2022	do zamieszkania	Grunwald
wtórny	45.56	blok	2	1	brak informacji	zapytaj	Grunwald
wtórny	51.1	kamienica	2	3	brak informacji	do zamieszkania	Wilda
pierwotny	53.51	kamienica	2	2	1891	do wykończenia	Stare Miasto
wtórny	37.0	blok	2	1	1960	do zamieszkania	Jeżyce
wtórny	53.9	blok	2	zapytaj	1960	do remontu	Grunwald
pierwotny	52.0	blok	3	0	2023	do wykończenia	Nowe Miasto
wtórny	42.0	blok	2	brak informacji	brak informacji	brak informacji	Rataje
wtórny	68.0	blok	3	2	2019	do zamieszkania	Jeżyce
wtórny	46.0	kamienica	2	2	brak informacji	do zamieszkania	Grunwald
wtórny	84.7	brak informacji	3	2	1950	do zamieszkania	Jeżyce
wtórny	98.0	blok	4	5	brak informacji	do wykończenia	Jeżyce
wtórny	42.4	blok	2	3	brak informacji	do remontu	Grunwald
wtórny	47.0	blok	2	0	brak informacji	brak informacji	Stare Miasto
wtórny	38.49	kamienica	2	0	1902	do zamieszkania	Wilda
brak informacji	52.65	brak informacji	2	0	brak informacji	do wykończenia	Jeżyce
wtórny	47.0	blok	2	0	brak informacji	brak informacji	Górczyn
wtórny	28.5	blok	1	2	brak informacji	do wykończenia	Jeżyce
brak informacji	36.69	brak informacji	2	1	brak informacji	do wykończenia	Nowe Miasto
wtórny	58.0	brak informacji	3	0	2007	zapytaj	Stare Miasto
wtórny	37.0	blok	2	3	brak informacji	brak informacji	Chartowo
wtórny	45.0	blok	2	0	2018	do zamieszkania	Nowe Miasto
wtórny	47.49	kamienica	2	0	1891	do wykończenia	Stare Miasto
pierwotny	31.2	dom wolnostojący	2	2	2023	do zamieszkania	Wilda
pierwotny	48.67	blok	2	0	2025	zapytaj	Nowe Miasto
wtórny	50.37	kamienica	3	4	brak informacji	do remontu	Stare Miasto
